RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VIVersatility,ORTGOffensive,DRTGDefensive
,Naji Marshall,Nor,F,24,6,9.4,19.6,11.3,20.3,4,1,10,0.7,0,0,0.7,0.765,3,1,6.3,0.8,12.9,0.17,0.17,0.5,5.7,135.1,109.9
,Caleb Martin,Mia,F,27,17,12.3,25.6,19.8,10.8,6,0.333,47,0.468,33,0.303,0.463,0.46,4.5,2.2,10.4,0.3,3.7,0.59,0.12,0.59,4.7,90.7,102.6
,Wesley Matthews,Mil,G,36,12,28.7,59.8,9.3,8.1,9,0.667,19,0.368,45,0.4,0.531,0.544,6.2,3.1,5.5,1.2,5.6,0.75,0.25,0.5,4,114.2,107.3
,Tyrese Maxey,Phi,G,22,12,40.4,84.2,21.8,9.3,50,0.94,113,0.549,69,0.377,0.555,0.61,20.8,3.5,5.3,3.9,17,0.75,0.17,1.75,6.5,118.8,112
,Skylar Mays,Atl,G,25,2,4.6,9.6,5,0,0,0,1,1,0,0,1,1,1,0.5,6.6,0.5,17.9,0.5,0,0,5.5,208.4,101.7
,CJ McCollum,Nor,G,31,6,39,81.2,27.9,9.9,26,0.692,74,0.432,51,0.333,0.46,0.487,22.2,6.7,10.1,4.8,20.6,0.67,0.83,2.5,9.2,102.6,110.8
,Jaden McDaniels,Min,F,22,6,21.7,45.1,14.9,13.3,12,0.833,14,0.571,20,0.5,0.676,0.713,9.3,2.8,7.3,0.7,5,0.33,1.83,1,4.9,127.4,103.8
,JaVale McGee,Pho,C-F,34,12,11.1,23.2,22.3,13.9,13,0.846,49,0.714,1,0,0.7,0.727,6.8,4,21,0.6,8.8,0.25,0.42,0.75,9.1,132.7,88
,Jordan McLaughlin,Min,G,26,5,16.6,34.6,10.7,9.6,4,0.75,10,0.8,7,0.571,0.824,0.826,6.2,2.4,8,3.4,33.4,1,0,0.4,8.9,165.3,108.5
,De'Anthony Melton,Mem,G,24,10,17,35.4,19.5,17.3,4,0.75,21,0.476,44,0.25,0.408,0.419,5.6,3.1,9.6,1.5,12.5,1,0.5,1.4,7,86.2,106.7
,Khris Middleton,Mil,F,31,2,35.8,74.5,22,30.3,3,1,10,0.4,14,0.429,0.542,0.573,14.5,5,7.2,7,29.6,1.5,0,5.5,8.9,95.3,104.6
,Paul Millsap,Phi,F,37,1,5.6,11.7,0,,0,0,0,0,0,0,,,0,1,10.9,1,23.7,0,0,0,0,,95.7
,Patty Mills,Bro,G,34,4,18.1,37.7,10.8,5.9,0,0,3,0.667,13,0.538,0.781,0.781,6.3,1,3.6,0,0,0,0.25,0.25,0,137.4,114.3
,Shake Milton,Phi,G-F,26,12,13.2,27.5,15.4,9.7,20,0.8,23,0.435,15,0.533,0.579,0.641,5,1.6,7.3,0.9,10.9,0.5,0.25,0.42,5.9,126.9,106.5
,Donovan Mitchell,Uta,G,26,6,38.3,79.7,34.2,9.6,42,0.881,85,0.506,48,0.208,0.436,0.505,25.5,4.3,6.6,5.7,29.7,0.67,0.5,2.67,8.9,107.4,109.5
,Greg Monroe,Min,F-C,32,2,3.6,7.5,35.7,16.7,0,0,5,0.4,0,0,0.4,0.4,2,1,15.4,0.5,29,1,0,0.5,11.1,,
,Moses Moody,Gol,G,20,13,8.1,16.8,14.1,8.9,6,0.667,15,0.533,13,0.538,0.661,0.669,3.2,0.6,4.3,0.3,5.3,0.23,0.23,0.23,4.1,123,110.9
,Ja Morant,Mem,G,23,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
,Juwan Morgan,Bos,F,25,9,1.6,3.4,5.8,0,2,0.5,0,0,1,0,0,0.266,0.1,0.3,11.6,0,0,0,0,0,0,,
,Markieff Morris,Mia,F,33,1,3.5,7.3,25.5,50,0,0,1,0,0,0,0,0,0,1,16.8,0,0,0,0,1,0,,
,Monte Morris,Den,G,27,5,31.1,64.9,18,12.4,12,0.75,25,0.56,26,0.423,0.598,0.622,14,2.2,4.4,5.4,26.3,1.2,0,1.6,7.1,123,107.8
,Trey Murphy III,Nor,F,22,6,20,41.6,9.1,4,5,0.8,3,0,19,0.474,0.614,0.64,5.2,2.5,7.4,0.5,3.4,0.5,0.17,0.17,3.7,134.6,109.7
,Svi Mykhailiuk,Tor,G-F,25,3,1.6,3.4,23.1,0,1,1,0,0,2,0,0,0.205,0.3,0.3,12.5,0,0,0,0,0,0,,
,Larry Nance Jr.,Nor,F-C,29,6,21.6,45.1,16.5,12,11,0.818,30,0.667,9,0.222,0.59,0.627,9.2,5.8,15.9,1.8,13.2,0.5,0.33,1,8.5,131.3,104.7
,Aaron Nesmith,Bos,G-F,23,14,3.7,7.7,17.2,5.1,4,0.75,6,0.5,11,0.091,0.265,0.32,0.9,1.1,16.3,0.2,8.4,0.14,0.29,0.07,6.3,,
