RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VIVersatility,ORTGOffensive,DRTGDefensive
,Jared Butler,Uta,G,22,1,4.7,9.8,20,0,0,0,2,0,0,0,0,0,0,1,12.4,0,0,0,0,0,0,0,113.9
,Jimmy Butler,Mia,F,33,17,37,77.1,29,5.9,132,0.841,260,0.55,68,0.338,0.541,0.604,27.4,7.3,11.6,4.6,23.5,2.06,0.65,1.41,10.5,126.8,106.5
,Facundo Campazzo,Den,G,31,4,3.4,7,13,50,0,0,0,0,2,0,0,0,0,0.8,13.8,0.5,18.2,0,0,0.5,0,,
,Vlatko Cancar,Den,F,25,2,4.3,9,25.3,40,0,0,1,1,2,0.5,0.833,0.833,2.5,1,14.4,0.5,19.8,0,0,1,10,89.2,116
,Clint Capela,Atl,C,28,2,20.2,42.1,8,14.3,0,0,6,0.333,0,0,0.333,0.333,2,7.5,22.4,0,0,0.5,0.5,0.5,0,93.1,108.9
,Jevon Carter,Mil,G,27,11,11.4,23.8,8.9,23.2,2,1,12,0.5,7,0.429,0.553,0.578,2.1,1.5,6.5,0.9,10.9,0.73,0,0.55,5,107,102.5
,Alex Caruso,Chi,G,28,4,28.4,59.1,9.3,4.2,0,0,5,0.4,18,0.389,0.543,0.543,6.3,2.8,4.9,4.3,22.1,1.25,1,0.25,6,131,106.9
,Marquese Chriss,Dal,F,25,8,3.8,7.8,18.3,8.6,6,0.833,6,0.5,2,0.5,0.563,0.658,1.8,1.1,17.4,0,0,0,0,0.13,0,,
,Brandon Clarke,Mem,F,26,12,24.7,51.5,17.4,8.7,54,0.667,90,0.622,1,0,0.615,0.645,12.3,6.9,14.8,2,12.7,0.75,0.83,0.92,9,134.6,105
,Jordan Clarkson,Uta,G,30,6,28.4,59.1,25.1,11,18,0.889,49,0.633,24,0.375,0.61,0.649,17.5,3.2,6.5,1.3,9.5,0.5,0.17,1.67,5.9,120.4,105.4
,Nic Claxton,Bro,F-C,23,4,24.5,51,16.7,5.6,22,0.182,24,0.792,0,0,0.792,0.624,10.5,6.3,16.7,1.5,9.8,1.25,2.25,0.5,7.6,123.7,107.9
,John Collins,Atl,F-C,25,5,24.3,50.7,18.3,10.3,10,0.5,28,0.536,11,0.364,0.538,0.541,9.4,4.6,11.4,1.2,8.8,0.4,0.2,1,6.1,103.3,106.8
,Mike Conley,Uta,G,35,6,29,60.4,20.7,17,15,0.8,32,0.438,25,0.2,0.377,0.432,9.2,3.2,6.4,4.8,26.9,0.83,0.33,2.17,7.2,94.8,103.2
,Pat Connaughton,Mil,G,29,12,26.5,55.2,13.2,7.2,5,1,24,0.708,64,0.391,0.619,0.632,9.5,4.3,8.2,0.9,5.2,0.42,0.33,0.58,5,120.4,109.9
,DeMarcus Cousins,Den,C,32,5,11.4,23.7,32.6,16.4,15,0.733,23,0.652,6,0.667,0.724,0.744,10.6,3.4,18.5,1.2,21.7,0.6,0.2,1.4,12.3,123.2,94.4
,Torrey Craig,Pho,F,31,9,7.6,15.9,18,14.9,2,0.5,12,0.417,10,0.3,0.432,0.437,2.2,1.7,12.8,0.6,9.8,0.44,0.22,0.44,6.9,93.1,101.7
,Jae Crowder,Pho,F,32,13,29.5,61.4,16.2,14,26,0.731,42,0.548,63,0.302,0.49,0.524,9.4,4.7,9.3,2.4,10.8,1,0.54,1.46,6.4,102.2,99.4
,Jarrett Culver,Mem,G-F,23,3,7.4,15.5,23.7,15.5,2,0.5,8,0.375,2,0,0.3,0.322,2.3,2.3,16.6,0.3,6.5,0.67,0,0.67,6.3,70.9,88.7
,Seth Curry,Bro,G,32,4,33.1,68.9,15,6.9,3,0.667,16,0.625,23,0.522,0.718,0.719,14.5,2.5,4.9,3,13.9,0.25,0.75,0.75,5.8,139.7,108.7
,Stephen Curry,Gol,G,34,22,34.7,72.3,31.8,10.3,129,0.829,211,0.526,229,0.397,0.563,0.606,27.4,5.2,8.4,5.9,28.3,1.23,0.36,2.59,10.9,117.4,103.7
,Dewayne Dedmon,Mia,C,33,14,9.8,20.5,18.6,12.2,12,0.833,35,0.571,10,0.1,0.478,0.527,3.8,3,18,0.4,5.7,0.07,0.21,0.5,6.8,109.7,81.8
,DeMar DeRozan,Chi,G-F,33,5,40.7,84.7,25.7,9.2,30,0.867,86,0.453,9,0,0.411,0.481,20.8,5.4,6.7,4.8,20.8,1.8,0.4,2.2,8,98.6,109.9
,Gorgui Dieng,Atl,C,32,2,5.2,10.8,10.8,0,1,1,1,1,1,0,0.5,0.615,1.5,1.5,17.4,0,0,0,0,0,0,147.4,118.2
,Spencer Dinwiddie,Dal,G,29,18,27.8,58,23.7,11.6,67,0.821,96,0.417,96,0.417,0.521,0.576,14.2,2.4,5.1,3.6,21.8,0.83,0.33,1.61,7.1,114,105.8
,Luka Doncic,Dal,F-G,23,15,36.8,76.7,40.4,12.5,135,0.77,204,0.534,148,0.345,0.527,0.577,31.7,9.8,15.5,6.4,37.3,1.8,0.6,3.93,13.7,109.8,100
,Ayo Dosunmu,Chi,G,22,5,17.1,35.7,15.1,10.2,1,1,13,0.385,13,0.231,0.365,0.378,4,2.6,7.6,2.2,19.3,0.2,0,0.6,6.6,93.9,112.7
,Goran Dragic,Bro,G,36,4,19.8,41.3,22,13.2,2,1,20,0.7,12,0.333,0.625,0.639,10.5,4.5,14.8,1.5,12.8,0.75,0,1.25,8.4,119.3,101.2
,Andre Drummond,Bro,C,29,4,15,31.2,14.7,31.3,5,0.6,11,0.545,0,0,0.545,0.568,3.8,3,13.1,0.8,7,1.25,0.75,1.5,5.6,89.5,91.6
,Kevin Durant,Bro,F,34,4,44,91.7,31.5,17.4,38,0.895,62,0.403,21,0.333,0.428,0.526,26.3,5.8,8.5,6.3,22.3,1,0.25,5.25,9,99.4,109.1
,Anthony Edwards,Min,G,21,6,37.8,78.8,26.4,10.7,34,0.824,53,0.509,57,0.404,0.559,0.604,25.2,4.2,6.1,3,14.8,1.17,1.17,2.5,7.2,113.8,107.7
,Kessler Edwards,Bro,F,22,2,3.6,7.5,6.4,100,0,0,0,0,0,0,,,0,0,0,0.5,17,0.5,0,0.5,0,,
,Joel Embiid,Phi,C-F,28,10,38.5,80.3,28.3,13.8,89,0.82,128,0.555,33,0.212,0.506,0.59,23.6,10.7,17,2.1,9.9,0.4,0.8,3.2,8.4,110,103.7
,Dorian Finney-Smith,Dal,F,29,18,38.2,79.6,12.8,9.7,24,0.708,49,0.571,108,0.426,0.618,0.63,11.7,5.5,8.4,1.9,7.8,0.94,0.39,1,5.2,125.2,106.2
